track_id,audio_path,caption,tags,genre,split,artist_id,album_id,fma_subset,source_dataset
2,000/000002.mp3,"Track title: Food. Artist: AWOL. Album: AWOL - A Way Of Life. Artist description: <p>A Way Of Life, A Collective of Hip-Hop from NJ...................</p> Album information: <p></p>",[],Hip-Hop,train,1,1,small,FMA
5,000/000005.mp3,"Track title: This World. Artist: AWOL. Album: AWOL - A Way Of Life. Artist description: <p>A Way Of Life, A Collective of Hip-Hop from NJ...................</p> Album information: <p></p>",[],Hip-Hop,train,1,1,small,FMA
10,000/000010.mp3,"Track title: Freeway. Artist: Kurt Vile. Album: Constant Hitmaker. Artist description: <p><span style=""font-family:Verdana, Geneva, Arial;font-size:xx-small;"">""Philly's Constant Hitmaker"" Kurt Vile plays psychedelic experimental pop infused with a classic, folksy directness. 2008's Gulcher Records release <i>Constant Hitmaker</i> more than lives up to the name. Vile's a consistent live performer who's shared the stage with a range of sonic adventurers and avant pop-stars including Sonic Youth, Big Star, Blues Control, Magik Markers, and Ariel Pink's Haunted Graffiti.</span></p><p><span style=""font-family:Verdana, Geneva, Arial;font-size:xx-small;"">After a slew of limited releases on labels like Mexican Summer, Richie Records, Woodsist, and Skulltones,</span><span style=""font-family:Verdana, Geneva, Arial;font-size:xx-small;""> Kurt Vile signed to Matador Records who released his first proper full-length (the Gulcher release was more of a ""greatest hits""), <a title=""Childish Prodigy"" href=""http://www.matadorrecords.com/store/index.php?catalog_id=387"">Childish Prodigy</a>. </span></p>",[],Pop,train,6,6,small,FMA
140,000/000140.mp3,"Track title: Queen Of The Wires. Artist: Alec K. Redfearn & the Eyesores. Album: The Blind Spot. Artist description: <p>The Eyesores originally formed in 1997 originally as an outlet for Alec's singer/songwriter, but has since developed into something far more twisted and epic. The band has gone through many shapes and forms such as being: a chamber trio or quartet with accordion and strings, and as a big band with strings, guitars, drums,electronics, brass, and hurdy- gurdies, and sometimes just Alec solo, singing and playing accordion. The band has also accompanied theater and dance troupes such as the Everett Dance Theater and has worked with Providence independent film director Laura Colella.</p> Album information: <p>Alec K. Redfearn &amp; The Eyesores: Ellen Santaniello (soprano); Domenick Panzarella (guitar); Steve Jobe (hurdy-gurdy); Sarah Tolan-Mee, Olivia Geiger (violin); Laura Gulley (viola); Alec K. Redfearn (accordion); Erica Schattle (bassoon); Jason <span id=""switchNoteSnippet"" style=""display: none;"">...&nbsp;&nbsp;&nbsp; <a class=""notimportantlink"" style=""cursor: pointer;"" onclick=""javascript:showelement(&quot;NoteSnippet&quot;, &quot;&quot;, &quot;switchNoteSnippet&quot;);"">Full&nbsp;Description</a></span><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">McGill (alto saxophone); Orion Rigel Dommisse (organ); Matt McLaren (drums); Frank Difficult (programming); Chris Sadlers, Margie Wienk, Ann Schattle</span></p>",[],Folk,train,54,61,small,FMA
141,000/000141.mp3,"Track title: Ohio. Artist: Alec K. Redfearn & the Eyesores. Album: Every Man For Himself. Artist description: <p>The Eyesores originally formed in 1997 originally as an outlet for Alec's singer/songwriter, but has since developed into something far more twisted and epic. The band has gone through many shapes and forms such as being: a chamber trio or quartet with accordion and strings, and as a big band with strings, guitars, drums,electronics, brass, and hurdy- gurdies, and sometimes just Alec solo, singing and playing accordion. The band has also accompanied theater and dance troupes such as the Everett Dance Theater and has worked with Providence independent film director Laura Colella.</p> Album information: <p>A full ensamble of strings, drums, electronics, farfisa, horns and of course Alec's signature accordian. carnival-esque and romantic to down right murderous at times.</p>",[],Folk,train,54,60,small,FMA
148,000/000148.mp3,"Track title: Blackout 2. Artist: Contradiction. Album: Contradiction. Artist description: <p>Power Electronics redefined by Andy Ortmann &amp; Weasel Walter, the sheer brutality is matched only by their thoughtfulness.</p> Album information: <p>""Compositions for electronics and voice."" If one ever played around with a microphone in front of a set of speakers, you know it can create feedback. If you are not afraid and keep on holding the microphone in front of the speakers, you know you can sing through it, or scream or shout. (-<a href=""http://www.staalplaat.com/vital_archive/449.txt"" target=""_blank"">Vital Weekly, number 449, week 47</a>)</p>",[],Experimental,val,57,66,small,FMA
182,000/000182.mp3,"Track title: Jules Lost His Jewels. Artist: Ariel Pink's Haunted Graffiti. Album: Worn Copy. Artist description: <p>Ariel ""Pink"" Rosenberg has been churning out tape after tape of warped pop hits since 1996. A recent batch of higher profile releases, jump-started by Animal Collective's Paw Tracks label, is just the tip of his R. Stevie Moore-inspired iceberg. Ariel Pink's Haunted Graffiti reimagines 70's AM radio through psychedelic vision goggles. Although he typically records solo to 8-track cassette, Ariel Pink stopped by WFMU while on tour with a full backing band, bringing the Haunted Graffiti to life here in studio B. (-Jason Sigal August 2008)</p> <p>In November 2009, Ariel Pink's Haunted Graffiti was signed to 4AD records. He released a new mp3 single ""Round and Round"" in March 2010, marking a studio quality departure from his former lo-fi recordings. 4AD released it as a 7"" single, backed with ""Mistaken Wedding"". A new album, ""Before Today"", will be released summer 2010. (read more at <a title=""http://en.wikipedia.org/wiki/Ariel_Pink"" href=""http://en.wikipedia.org/wiki/Ariel_Pink"" target=""_blank"">wikipedia</a>)</p> Album information: <p><em>Worn Copy</em> is the history of popular music as revealed through the eyes and ears of Ariel Pink. It’s an impassioned combinatory view of popular and unpopular culture that takes in everything from The Cure, R. Stevie Moore and Amon Duul to forgotten episodes of <em>The Gong Show</em>, <em>It's Your Move</em>, and <em>What's Happening?</em> Originally released in 2003 by the Rhystop label. (-via <a href=""http://paw-tracks.com"">paw-tracks.com</a>)</p>",[],Rock,test,64,80,small,FMA
190,000/000190.mp3,"Track title: Castle Of Stars. Artist: Ed Askew. Album: Blue Piano. Artist description: <p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright © David Keenan/Volcanic Tongue</span></i></p> Album information: <p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p> <p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",[],Folk,train,127,84,small,FMA
193,000/000193.mp3,"Track title: Here With You. Artist: Ed Askew. Album: Blue Piano. Artist description: <p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright © David Keenan/Volcanic Tongue</span></i></p> Album information: <p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p> <p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",[],Folk,train,127,84,small,FMA
194,000/000194.mp3,"Track title: All I want to Do. Artist: Ed Askew. Album: Blue Piano. Artist description: <p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright © David Keenan/Volcanic Tongue</span></i></p> Album information: <p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p> <p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",[],Folk,train,127,84,small,FMA
